"tweet","time","tweeter","number_of_retweets","number_of_favourites""b'If Iran is able to turn over to the U.S. kidnapped former FBI Agent Robert A. Levinson, who has been missing in Ira\xe2\x80\xa6 https://t.co/NFxR4gJCei'",2019-11-11 02:25:09,realDonaldTrump,18773,75052
b'RT @GOPChairwoman: Kamala taking a page out of Hillary\xe2\x80\x99s book.\n\n2020 Democrats want to destroy millions of American jobs in the fossil fuel\xe2\x80\xa6',2019-11-10 01:48:53,realDonaldTrump,4904,0
"b'RT @GOPChairwoman: If Adam Schiff blocks these witness from testifying, it will be further proof that this is a partisan political vendetta\xe2\x80\xa6'",2019-11-10 01:48:32,realDonaldTrump,8283,0
"b'RT @GOPChairwoman: Things Democrats did this week: Sham impeachment proceedings.\n\nThings they didn\xe2\x80\x99t: Ratify #USMCA, fund the troops, lower\xe2\x80\xa6'",2019-11-10 01:48:17,realDonaldTrump,7307,0
"b'95% Approval Rate in the Republican Party, a record! Thank you!'",2019-11-23 22:57:15,realDonaldTrump,26241,139161
b'Thank you Kevin for the nice words! https://t.co/DfY1V38EhD',2019-11-23 22:37:34,realDonaldTrump,8495,37897
b'NEW YORK POST EDITORIAL. \xe2\x80\x9cWorse Than Pointless. All those hours of televised testimony plainly failed on their anno\xe2\x80\xa6 https://t.co/1XAuOFHyVk',2019-11-23 19:52:49,realDonaldTrump,17371,65194
"b'Daniel Cameron, who just won the A.G. race in the Great Commonwealth of Kentucky, is a young and very talented poli\xe2\x80\xa6 https://t.co/l6Nw61LPHy'",2019-11-23 17:18:00,realDonaldTrump,12544,55237
"b'\xe2\x80\x9cThe Democrats dirty tricks have started this whole thing. The Whistleblower, the guy who took his case to Schiff\xe2\x80\x99s\xe2\x80\xa6 https://t.co/ufbUmLQFvs'",2019-11-23 17:05:44,realDonaldTrump,19629,66577
"b'Joe Concha, The Hill: \xe2\x80\x9cIn Emerson College Poll, Impeachment among independents, 49% Oppose, 34% Support. You see wh\xe2\x80\xa6 https://t.co/bocPR9Om0g'",2019-11-23 16:25:37,realDonaldTrump,19653,72074
"b'Adam Schiff will be compelled to testify should the Democrats decide, despite the fact that my presidential convers\xe2\x80\xa6 https://t.co/bD2rqpRbSx'",2019-11-23 15:17:06,realDonaldTrump,24749,102464
b'\xe2\x80\x9cThe support for Impeachment is not there. I think the Democrats will have to come up with a new game plan.\xe2\x80\x9d @jasoninthehouse @FoxNews',2019-11-23 02:28:48,realDonaldTrump,20770,93409
"b""RT @ByronYork: Schiff says when Republicans use phrase 'Russia hoax,' they are denying Russian interference. Untrue. Obvious fact: When Rep\xe2\x80\xa6""",2019-11-23 01:26:22,realDonaldTrump,14219,0
b'RT @RepMarkMeadows: Potentially huge. Stay tuned... \n\n\xe2\x80\x9cHorowitz reportedly finds evidence FBI lawyer falsified FISA doc\xe2\x80\x9d\nhttps://t.co/RzSF3\xe2\x80\xa6',2019-11-23 01:25:40,realDonaldTrump,14774,0
"b""RT @Jim_Jordan: \xe2\x80\x9cJim Jordan says facts are on Trump's side after week of public impeachment hearings\xe2\x80\x9d\n\n@BretBaier https://t.co/gBPNYvYPjW""",2019-11-23 01:25:28,realDonaldTrump,11237,0
"b'RT @RepMarkMeadows: Wow - Impeachment way under water with independents. 49% oppose, only 34% support.\n\nThe American people see through thi\xe2\x80\xa6'",2019-11-23 01:25:17,realDonaldTrump,15342,0
b'https://t.co/Mn4EJ7Jbh8',2019-11-22 23:55:37,realDonaldTrump,32093,105144
b'.@SecAzar and I will soon release a plan to let Florida and other States import prescription drugs that are MUCH CH\xe2\x80\xa6 https://t.co/KUCvUfA3JU',2019-11-22 19:04:34,realDonaldTrump,20195,76179
b'Thank you to @senatemajldr Mitch McConnell and @GOPLeader Kevin McCarthy for their Great Leadership! There has neve\xe2\x80\xa6 https://t.co/4armKSJjEo',2019-11-22 18:53:37,realDonaldTrump,17998,74674
"b'RT @realDonaldTrump: SCHIFF\'S ""FACT"" WITNESSES! https://t.co/Pab2y1BVoN'",2019-11-22 16:34:33,realDonaldTrump,43706,0
